;Adj Close;Adj Close;Adj Close;Close;Close;Close;High;High;High;Low;Low;Low;Open;Open;Open;Volume;Volume;Volume
;BTC-USD;TSLA;^GSPC;BTC-USD;TSLA;^GSPC;BTC-USD;TSLA;^GSPC;BTC-USD;TSLA;^GSPC;BTC-USD;TSLA;^GSPC;BTC-USD;TSLA;^GSPC
Date;;;;;;;;;;;;;;;;;;
2020-01-01;7200,17431640625;;;7200,17431640625;;;7254,33056640625;;;7174,9443359375;;;7194,89208984375;;;18565664997;;
2020-01-02;6985,47021484375;28,68400001525879;3257,85009765625;6985,47021484375;28,68400001525879;3257,85009765625;7212,1552734375;28,713333129882812;3258,139892578125;6935,27001953125;28,11400032043457;3235,530029296875;7202,55126953125;28,299999237060547;3244,669921875;20802083465;142981500,0;3459930000,0
2020-01-03;7344,88427734375;29,534000396728516;3234,85009765625;7344,88427734375;29,534000396728516;3234,85009765625;7413,71533203125;30,266666412353516;3246,14990234375;6914,99609375;29,128000259399414;3222,340087890625;6984,4287109375;29,366666793823242;3226,360107421875;28111481032;266677500,0;3484700000,0
2020-01-04;7410,65673828125;;;7410,65673828125;;;7427,3857421875;;;7309,51416015625;;;7345,37548828125;;;18444271275;;
2020-01-05;7411,3173828125;;;7411,3173828125;;;7544,4970703125;;;7400,53564453125;;;7410,45166015625;;;19725074095;;
2020-01-06;7769,21923828125;30,1026668548584;3246,280029296875;7769,21923828125;30,1026668548584;3246,280029296875;7781,8671875;30,104000091552734;3246,840087890625;7409,29296875;29,333332061767578;3214,639892578125;7410,4521484375;29,364667892456055;3217,550048828125;23276261598;151995000,0;3702460000,0
2020-01-07;8163,6923828125;31,270666122436523;3237,179931640625;8163,6923828125;31,270666122436523;3237,179931640625;8178,2158203125;31,441999435424805;3244,909912109375;7768,2275390625;30,224000930786133;3232,429931640625;7768,68212890625;30,760000228881836;3241,860107421875;28767291327;268231500,0;3435910000,0
2020-01-08;8079,86279296875;32,80933380126953;3253,050048828125;8079,86279296875;32,80933380126953;3253,050048828125;8396,73828125;33,232666015625;3267,070068359375;7956,7744140625;31,215333938598633;3236,669921875;8161,935546875;31,579999923706055;3238,590087890625;31672559265;467164500,0;3726840000,0
2020-01-09;7879,0712890625;32,089332580566406;3274,699951171875;7879,0712890625;32,089332580566406;3274,699951171875;8082,2958984375;33,253334045410156;3275,580078125;7842,40380859375;31,524667739868164;3263,669921875;8082,2958984375;33,13999938964844;3266,030029296875;24045990466;426606000,0;3641230000,0
2020-01-10;8166,55419921875;31,876667022705078;3265,35009765625;8166,55419921875;31,876667022705078;3265,35009765625;8166,55419921875;32,3293342590332;3282,989990234375;7726,77490234375;31,579999923706055;3260,860107421875;7878,3076171875;32,11933135986328;3281,81005859375;28714583844;194392500,0;3214580000,0
2020-01-11;8037,53759765625;;;8037,53759765625;;;8218,359375;;;8029,64208984375;;;8162,19091796875;;;25521165085;;
2020-01-12;8192,494140625;;;8192,494140625;;;8200,0634765625;;;8009,05908203125;;;8033,26171875;;;22903438381;;
2020-01-13;8144,1943359375;34,990665435791016;3288,1298828125;8144,1943359375;34,990665435791016;3288,1298828125;8197,7880859375;35,04199981689453;3288,1298828125;8079,70068359375;32,79999923706055;3268,429931640625;8189,77197265625;32,900001525878906;3271,1298828125;22482910688;397764000,0;3459390000,0
